七台河,新建　
三门峡,二  印
东莞,东城主山
东莞,莞城梨川
丹东,江湾东路
丹东,临江后街
丹东,元宝山
丹东,民主桥
克州,市人民政府
南阳,环保局　
商丘,环境监测站　
商丘,粮食局　
商丘,睢阳区环保局　
商丘,第三人民医院　
天津,南口路
天津,勤俭路
天津,大直沽八号路
天津,前进路
天津,跃进路
天津,航天路
天津,汉北路
广州,体育西
成都,君平街
抚顺,顺城区
抚顺,新抚区
抚顺,大伙房水库
揭阳,新兴
揭阳,西马
揭阳,东兴
揭阳,渔湖
攀枝花,四十中小
无锡,雪浪
无锡,黄巷
无锡,荣巷
普洱,市环保局
普洱,普洱第二中学
朝阳,西梁
朝阳,河畔小区
朝阳,八里堡
朝阳,农业园区
本溪,新立屯
榆林,红石峡森林公园　
榆林,世纪广场　
榆林,环保监测大楼　
沈阳,浑南东路
沈阳,新秀街
沈阳,沧海路
沈阳,东陵路
沈阳,陵东街
沈阳,文化路
沈阳,南十东路
沈阳,京沈街
沈阳,森林路
河源,源西
河源,东埔
河源,老城
清远,高新区
清远,环保大楼
焦作,市监测站　
焦作,市环保局　
牡丹江,环保大楼　
牡丹江,文化广场　
盘锦,新生街道
眉山,蟆颐观
营口,学府南路
营口,大庆路
营口,镜湖西路
葫芦岛,龙港区
葫芦岛,化工街
葫芦岛,新区
葫芦岛,东城区
襄阳,襄城运动路
襄阳,樊城新华路
襄阳,高新管委会
襄阳,襄州航空路
贵港,江南子站　
贵阳,燕子冲
贵阳,碧云窝
贵阳,中院村
贵阳,红边门
贵阳,新华路
贵阳,鉴湖路
辽阳,宏伟区
辽阳,新华园
辽阳,滨河路
辽阳,铁西工业园
铁岭,汇工街西
铁岭,银州路东段
铁岭,金沙江路北
锦州,百股街道
锦州,天安街道
长治,德盛苑
阜新,长青街
阜新,东苑
阜新,玉龙新城
鞍山,千山
鞍山,太阳城
鞍山,太平
鞍山,铁西三道街
鞍山,铁西工业园区
驻马店,市一纸厂　
驻马店,市彩印厂　
驻马店,天方二分厂　
鸡西,环保局　
鸡西,自来水公司　
鸡西,白酒厂　
鸡西,气象局　
黑河,交通局　
黑河,地震局　
